sys_RespNum,United_Way,Feeding_America,Direct_relief,A_Thank_you_note,Amazon,Wristband,Donors_list,Social_netwrok,Confidential,High_efficiency,Meduim_efficiency,Low_efficiency,High_impact,Meduim_impact,Low_impact,High_donation,Meduim_donation,Low_donation,NONE,Organization_Importances,Reward_Importances,Social_recognition_Importances,Efficiency_Importances,Impact_Importances,Donation_amount_Importances,RLH,Income,Gender,Religious,Religious_6_other,Religiouslevel,age,PersonalStatus,Numberofkids,ProlificID,Level_of_Similarity
15,-0.197611453,0.317577828,-0.119966375,-0.240724398,0.655278439,-0.414554041,-0.066448813,-1.536046616,1.602495429,1.173059839,0.263453504,-1.436513344,-0.286822138,-0.122198655,0.409020793,-0.688104502,0.099628336,0.588476166,-4.282134104,5.536359423,11.49670102,33.72759777,28.04315934,7.477711042,13.7184714,0.536,1,2,5, ,1,32,1,0,5dd85a30e08a368017977897,0
16,-0.189388548,0.038427258,0.15096129,-0.250270533,0.607809583,-0.35753905,-0.284974838,0.329822519,-0.044847682,1.289580255,-0.117368381,-1.172211873,-0.789952529,-0.139544474,0.929497003,-4.463189521,0.454448752,4.008740769,-10.86532694,2.335375299,6.623923697,4.218549278,16.89205604,11.79833078,58.1317649,0.771, , , , , , , , , ,0
17,-0.618359125,0.42988614,0.188472985,0.243865655,0.689322752,-0.933188407,-0.242659365,-0.400142036,0.642801401,5.053887801,-1.105369415,-3.948518386,-0.109705019,-0.029248912,0.138953931,0.57792342,0.192533104,-0.770456524,0.875282917,7.323654367,11.3358117,7.286612698,62.89607367,1.737276827,9.420570736,0.73,1,2,6, ,3,25,1,0,605481dadb17052e17e69915,0
18,-0.302450267,0.266166048,0.036284219,-0.048039182,0.077950896,-0.029911713,-0.049218251,0.031609339,0.017608912,1.915977164,0.548213985,-2.464191149,-0.789029815,-0.187433438,0.976463252,2.343258462,0.604759737,-2.948018199,-3.113471441,4.656067743,1.031659351,0.661850045,35.86664658,14.45659421,43.32718207,0.725,4,1,1, ,4,43,2,3,6084bdb40a1ffa65b1c75a73,0
19,-0.009856881,-0.045523814,0.055380695,0.078324398,0.227800823,-0.306125221,-0.078812625,-0.167076626,0.245889252,0.00059889,0.349838747,-0.350437636,-0.780185447,-0.131343612,0.911529059,-4.26535603,0.007943287,4.257412743,-10.43764246,0.843502912,4.463310689,3.452154158,5.853902604,14.14174774,71.24538189,0.877,1,2,1, ,3,33,1,0,5ee8a76e68875f1ba06aadf2,0
20,-0.194825727,0.056841573,0.137984153,-0.40534051,0.209049288,0.196291222,-0.283096069,0.238089008,0.045007061,0.7678524,0.142651057,-0.910503457,-0.685841116,0.205285289,0.480555827,3.503003184,-0.010347699,-3.492655484,-1.021058501,2.942929319,5.432848782,4.608669808,14.84115395,10.31406809,61.86033005,0.519,3,1,6, ,2,28,1,0,6009f3476c71d710d6d7b596,0
21,0.097445034,0.965423737,-1.062868771,0.563479728,-0.127089324,-0.436390404,-0.11097648,-0.212645483,0.323621963,1.541818465,-0.52503805,-1.016780415,0.619281871,-0.248786522,-0.370495348,-2.9348927,1.115302084,1.819590616,-5.932616335,17.09145553,8.425429678,4.51887051,21.56009491,8.340381507,40.06376786,0.677,4,1,1, ,3,26,2,0,5d278cc85e946f001b305b46,0
22,0.431444622,0.008468899,-0.439913521,-0.786875797,0.945877288,-0.159001492,-0.040024916,-0.018301653,0.058326569,-0.119835923,0.2300498,-0.110213877,0.041206403,0.52637424,-0.567580643,-1.050609576,0.705067688,0.345541888,-7.442205894,14.76382599,29.35884082,1.666414931,5.928276412,18.535386,29.74725585,0.369,4,2,1, ,3,46,2,1,601ad55faf64533aa9999ccd,0
23,-0.041051273,0.49371743,-0.452666156,1.533631395,-1.583011414,0.049380018,-0.637460593,-1.102412963,1.739873555,1.582226941,0.376010761,-1.958237702,0.027551568,-0.441205417,0.413653849,-0.887603139,0.746429944,0.141173195,4.669583687,7.316642737,24.0952636,21.97417127,27.37189792,6.609053591,12.63297089,0.715,4,2,6, ,1,40,2,3,5e3084c73e833d06ead6669d,0
25,-0.16586948,0.422200303,-0.256330823,-2.042945343,3.52450647,-1.481561126,0.445083326,0.069038123,-0.514121449,0.720401005,-0.007694895,-0.71270611,-0.744162669,0.332486145,0.411676524,1.048188787,-0.128151038,-0.920037749,-9.559854591,5.768664573,47.33277632,8.154866283,12.18383936,9.826592096,16.73326137,0.857,4,1,2, ,3,41,2,0,5c6d159a4d186e0001160a7d,0
26,0.341552576,-0.366409596,0.02485702,0.021024949,0.151535024,-0.172559973,-0.079599312,-0.470683112,0.550282424,-0.16385986,0.430737787,-0.266877927,0.021375427,0.144439756,-0.165815183,-1.807351868,-0.054036067,1.861387935,-6.357995245,10.52007078,4.81593854,15.17119152,10.36632603,4.610280107,54.51619302,0.405,5,2,1, ,3,37,1,0,6083cce7c2cde92a386a6d20,0
27,-1.503296292,2.36561385,-0.862317558,-0.148990228,0.75740789,-0.608417661,0.041072409,-0.557691678,0.516619269,1.378257462,0.189365007,-1.567622469,-0.14797584,-0.01432788,0.16230372,1.260833297,0.220787289,-1.481620587,1.028294018,31.43497738,11.09736172,8.72879934,23.93533724,2.52102804,22.28249628,0.612,1,1,1, ,1,50,4,4,5bd845189673510001877e36,0
28,-0.155562606,0.880426089,-0.724863483,-0.822688599,1.164393464,-0.341704865,-0.661547069,-0.146308318,0.807855387,1.171096536,0.004649257,-1.175745793,-0.894195883,0.48234054,0.411855343,0.363348999,1.009802345,-1.373151344,-5.729335105,14.3738741,17.79247052,13.15713144,21.01378889,12.32560254,21.33713251,0.518,3,2,5, ,1,36,1,0,5ee04a3f7dfcae39390e6553,0
